timestamp,symbol,RSI,MACD,MACD_signal,BB_upper,BB_lower,ATR,ST_K,ST_D,VWAP,EMA21,SMA50,FundingRate,OpenInterest,SIGNAL,PROFITABLE
2025-06-21T21:45:42.707868,XBTUSDTM,56.145606863804126,15.544273977371631,-23.885315262511384,102358.1112618926,101931.52873810736,145.25728599920785,77.0916714312945,85.49696421944115,102353.86015852256,102188.22582265487,102244.344,7.6e-05,5400774,hold,
2025-06-21T21:45:43.643471,ETHUSDTM,47.35526188007072,-1.9084644468798613,-2.2449853445337435,2266.900335823535,2253.023664176466,6.300903180208052,67.07974137930957,70.85747162996111,2270.9605925247934,2260.3560160617326,2264.6586,-9.1e-05,8052466,hold,
2025-06-21T21:45:44.584659,SOLUSDTM,50.161348377828574,-0.13493304769176,-0.2240208113126083,134.22539552104135,133.32340447895868,0.3589118220057516,76.54205607476841,77.86455941031944,135.0815540451717,133.9016116613267,134.39442,-0.00023,8030268,hold,
2025-06-21T22:00:27.439841,XBTUSDTM,52.56764615492808,44.59804948912642,50.00347964996787,102521.33577671649,102203.10422328352,105.7857484526318,33.975409836063186,37.31431543855282,102318.41966562346,102340.87645982573,102239.696,7.8e-05,5383993,hold,
2025-06-21T22:01:27.753730,XBTUSDTM,55.67596951331208,49.90105463385407,50.70324467417871,102519.7590401738,102235.0209598262,104.11269895902376,61.27049180327869,47.13114754098161,102316.37039112869,102354.14527028563,102244.144,7.9e-05,5381710,hold,
2025-06-21T22:02:34.360648,XBTUSDTM,55.84006252271524,53.47719656677509,51.76126261746916,102511.11173080538,102274.29826919462,101.92698574690505,61.62517613902852,64.94063248349931,102316.52075320238,102366.06760673692,102246.438,7.9e-05,5382902,hold,
2025-06-21T22:02:35.609184,ETHUSDTM,56.77209593712545,1.9374358663117164,1.175654546504329,2272.73778800832,2257.70321199168,4.875866368574131,83.25041459369825,85.7413168995974,2267.5326079853785,2265.7706490186747,2263.6582,-8.8e-05,8042028,hold,
2025-06-21T22:02:36.620976,SOLUSDTM,58.382494469680815,0.2290762555105345,0.1895846969228888,135.33920609723577,133.91109390276424,0.3050466778888059,67.85243741765426,80.38701936910347,134.82172802262625,134.63771147183255,134.27944,-0.000228,7888868,hold,
2025-06-21T22:02:38.183593,WIFUSDTM,55.0572755293673,0.0005690037442768,0.0004079732527357,0.7004235614890931,0.6959064385109069,0.001441822427396,58.53658536585544,56.09756097561092,0.7003678723545681,0.6981952320154388,0.6977239999999999,-0.000218,1061895,hold,
2025-06-21T22:02:39.245394,PEPEUSDTM,58.56564605726188,1.4974971890893813e-08,1.0160758450913678e-08,9.282856766227432e-06,9.189223233772569e-06,2.0052956193969443e-08,76.647564469914,92.21585482330468,9.247153523593304e-06,9.239002029885394e-06,9.222322e-06,-1.3e-05,3182305,hold,
2025-06-21T22:02:40.468726,DOGEUSDTM,58.21430436714642,0.0001558665392971,0.0001083658818207,0.1546801993986396,0.1535328006013604,0.0002751903401566,77.61194029850591,85.3301062256283,0.154267213705713,0.1541331582291867,0.1539522,-0.000159,1552698,hold,
2025-06-21T22:02:41.760530,XRPUSDTM,57.86528348258426,0.0022747651659456,0.0019574673306656,2.06220855014038,2.04869144985962,0.0034735444740224,66.66666666667047,70.74074074074296,2.055938717616627,2.055121985440813,2.051058,-7.2e-05,5949610,hold,
2025-06-21T22:02:42.806728,1000000MOGUSDTM,51.40821285614671,-0.0018577821821077,,0.7477515586804415,0.7266584413195587,0.0026176544231433,81.95488721804456,59.77811404822312,0.73629507082153,0.7367393248328814,,0.00014,1036896,hold,
2025-06-21T22:02:43.895203,10000CATUSDTM,38.10362583798882,-0.0002364941711439,-0.0002482487996026,0.0559556453994369,0.054994354600563,0.0001135457433798,32.65306122449006,14.455782312925123,0.0557983290187075,0.0554990311254538,,-4.4e-05,1055931,hold,
2025-06-21T22:02:45.449235,10000SATSUSDTM,49.30391607512141,-6.94272086250588e-07,,0.0003484012292604,0.0003422987707395,7.592036747313664e-07,100.0,83.33333333333378,0.0003468924248191,0.0003457681630117,,-0.000157,1239011,hold,
2025-06-21T22:02:46.729468,1000BONKUSDTM,57.9279332432223,-2.7619732729383677e-06,-2.045497175471607e-05,0.0126615882600135,0.0125006117399864,2.797874853152587e-05,100.0,93.28859060402674,0.0126553878120893,0.0126063006416634,0.01265684,-2.6e-05,199184,hold,
2025-06-21T22:02:47.955860,1000RATSUSDTM,52.753586524258026,,,0.0195445049260486,0.0191384950739513,4.7603586074367386e-05,91.66666666666704,57.53968253968255,0.0194097059996278,0.0193452568954581,,-0.001327,5283301,hold,
2025-06-21T22:02:49.649991,1INCHUSDTM,38.07600028898314,-0.0005018073225713,,0.171792392100361,0.1694176078996389,0.000314165665385,23.07692307692439,13.626651126651694,0.1706610606688686,0.1706255947107122,,-0.000315,4977019,hold,
2025-06-21T22:02:51.082938,AAVEUSDTM,48.53792462432873,0.0806730140168952,0.1031788931894239,233.25120314185185,231.9907968581482,0.4985715575967577,15.527950310559149,26.0869565217392,232.97471368103805,232.4887143221448,232.2742,-0.000189,2095383,hold,
2025-06-21T22:02:52.436513,ACHUSDTM,46.37266141234618,,,0.0181758246094377,0.0178669753905622,3.734282024013147e-05,85.35031847133848,83.43949044586034,0.0180842403609515,0.018045948541349,,0.000267,869204,hold,
2025-06-21T22:02:53.880079,ADAUSDTM,59.74997267262493,0.0005888078582603,0.0004135712740085,0.5520360549574339,0.5476189450425661,0.0010342702973687,78.9473684210516,85.66830745929538,0.5520838180922364,0.5498801972290414,0.54899,-2.5e-05,4366065,hold,
